test,standard,from,to,score
Dash - 40 yd,1,12.001,15,0
Dash - 40 yd,1,11.864,12,10
Dash - 40 yd,1,11.783,11.863,20
Dash - 40 yd,1,11.702,11.782,30
Dash - 40 yd,1,11.621,11.701,40
Dash - 40 yd,1,11.54,11.62,50
Dash - 40 yd,1,11.459,11.539,60
Dash - 40 yd,1,11.378,11.458,70
Dash - 40 yd,1,11.297,11.377,80
Dash - 40 yd,1,11.216,11.296,90
Dash - 40 yd,1,11.135,11.215,100
Dash - 40 yd,1,11.054,11.134,110
Dash - 40 yd,1,10.973,11.053,120
Dash - 40 yd,1,10.892,10.972,130
Dash - 40 yd,1,10.811,10.891,140
Dash - 40 yd,1,10.73,10.81,150
Dash - 40 yd,1,10.649,10.729,160
Dash - 40 yd,1,10.568,10.648,170
Dash - 40 yd,1,10.487,10.567,180
Dash - 40 yd,1,10.406,10.486,190
Dash - 40 yd,1,10.325,10.405,200
Dash - 40 yd,1,10.244,10.324,210
Dash - 40 yd,1,10.163,10.243,220
Dash - 40 yd,1,10.082,10.162,230
Dash - 40 yd,1,10.001,10.081,240
Dash - 40 yd,1,9.925,10,250
Dash - 40 yd,1,9.824,9.924,260
Dash - 40 yd,1,9.723,9.823,270
Dash - 40 yd,1,9.622,9.722,280
Dash - 40 yd,1,9.521,9.621,290
Dash - 40 yd,1,9.42,9.52,300
Dash - 40 yd,1,9.319,9.419,310
Dash - 40 yd,1,9.218,9.318,320
Dash - 40 yd,1,9.117,9.217,330
Dash - 40 yd,1,9.016,9.116,340
Dash - 40 yd,1,8.915,9.015,350
Dash - 40 yd,1,8.814,8.914,360
Dash - 40 yd,1,8.713,8.813,370
Dash - 40 yd,1,8.612,8.712,380
Dash - 40 yd,1,8.511,8.611,390
Dash - 40 yd,1,8.41,8.51,400
Dash - 40 yd,1,8.309,8.409,410
Dash - 40 yd,1,8.208,8.308,420
Dash - 40 yd,1,8.107,8.207,430
Dash - 40 yd,1,8.006,8.106,440
Dash - 40 yd,1,7.905,8.005,450
Dash - 40 yd,1,7.804,7.904,460
Dash - 40 yd,1,7.703,7.803,470
Dash - 40 yd,1,7.602,7.702,480
Dash - 40 yd,1,7.501,7.601,490
Dash - 40 yd,1,7.465,7.5,500
Dash - 40 yd,1,7.404,7.464,510
Dash - 40 yd,1,7.343,7.403,520
Dash - 40 yd,1,7.282,7.342,530
Dash - 40 yd,1,7.221,7.281,540
Dash - 40 yd,1,7.16,7.22,550
Dash - 40 yd,1,7.099,7.159,560
Dash - 40 yd,1,7.038,7.098,570
Dash - 40 yd,1,6.977,7.037,580
Dash - 40 yd,1,6.916,6.976,590
Dash - 40 yd,1,6.855,6.915,600
Dash - 40 yd,1,6.794,6.854,610
Dash - 40 yd,1,6.733,6.793,620
Dash - 40 yd,1,6.672,6.732,630
Dash - 40 yd,1,6.611,6.671,640
Dash - 40 yd,1,6.55,6.61,650
Dash - 40 yd,1,6.489,6.549,660
Dash - 40 yd,1,6.428,6.488,670
Dash - 40 yd,1,6.367,6.427,680
Dash - 40 yd,1,6.306,6.366,690
Dash - 40 yd,1,6.245,6.305,700
Dash - 40 yd,1,6.184,6.244,710
Dash - 40 yd,1,6.123,6.183,720
Dash - 40 yd,1,6.062,6.122,730
Dash - 40 yd,1,6.001,6.061,740
Dash - 40 yd,1,5.948,6,750
Dash - 40 yd,1,5.881,5.947,760
Dash - 40 yd,1,5.813,5.88,770
Dash - 40 yd,1,5.745,5.812,780
Dash - 40 yd,1,5.678,5.744,790
Dash - 40 yd,1,5.61,5.677,800
Dash - 40 yd,1,5.542,5.609,810
Dash - 40 yd,1,5.475,5.541,820
Dash - 40 yd,1,5.407,5.474,830
Dash - 40 yd,1,5.339,5.406,840
Dash - 40 yd,1,5.272,5.338,850
Dash - 40 yd,1,5.204,5.271,860
Dash - 40 yd,1,5.136,5.203,870
Dash - 40 yd,1,5.069,5.135,880
Dash - 40 yd,1,5.001,5.068,890
Dash - 40 yd,1,4.925,5,900
Dash - 40 yd,1,4.844,4.924,910
Dash - 40 yd,1,4.763,4.843,920
Dash - 40 yd,1,4.682,4.762,930
Dash - 40 yd,1,4.601,4.681,940
Dash - 40 yd,1,4.533,4.6,950
Dash - 40 yd,1,4.46,4.532,960
Dash - 40 yd,1,4.387,4.459,970
Dash - 40 yd,1,4.314,4.386,980
Dash - 40 yd,1,4.241,4.313,990
Dash - 40 yd,1,3.5,4.24,1000
Standing Broad Jump,1,0.304,0,0
Standing Broad Jump,1,0.328,0.305,10
Standing Broad Jump,1,0.353,0.329,20
Standing Broad Jump,1,0.377,0.354,30
Standing Broad Jump,1,0.401,0.378,40
Standing Broad Jump,1,0.426,0.402,50
Standing Broad Jump,1,0.45,0.427,60
Standing Broad Jump,1,0.474,0.451,70
Standing Broad Jump,1,0.499,0.475,80
Standing Broad Jump,1,0.523,0.5,90
Standing Broad Jump,1,0.548,0.524,100
Standing Broad Jump,1,0.572,0.549,110
Standing Broad Jump,1,0.596,0.573,120
Standing Broad Jump,1,0.621,0.597,130
Standing Broad Jump,1,0.645,0.622,140
Standing Broad Jump,1,0.67,0.646,150
Standing Broad Jump,1,0.694,0.671,160
Standing Broad Jump,1,0.718,0.695,170
Standing Broad Jump,1,0.743,0.719,180
Standing Broad Jump,1,0.767,0.744,190
Standing Broad Jump,1,0.791,0.768,200
Standing Broad Jump,1,0.816,0.792,210
Standing Broad Jump,1,0.84,0.817,220
Standing Broad Jump,1,0.865,0.841,230
Standing Broad Jump,1,0.913,0.866,240
Standing Broad Jump,1,0.95,0.914,250
Standing Broad Jump,1,0.987,0.951,260
Standing Broad Jump,1,1.023,0.988,270
Standing Broad Jump,1,1.06,1.024,280
Standing Broad Jump,1,1.096,1.061,290
Standing Broad Jump,1,1.133,1.097,300
Standing Broad Jump,1,1.169,1.134,310
Standing Broad Jump,1,1.206,1.17,320
Standing Broad Jump,1,1.243,1.207,330
Standing Broad Jump,1,1.279,1.244,340
Standing Broad Jump,1,1.316,1.28,350
Standing Broad Jump,1,1.352,1.317,360
Standing Broad Jump,1,1.389,1.353,370
Standing Broad Jump,1,1.425,1.39,380
Standing Broad Jump,1,1.462,1.426,390
Standing Broad Jump,1,1.499,1.463,400
Standing Broad Jump,1,1.535,1.5,410
Standing Broad Jump,1,1.572,1.536,420
Standing Broad Jump,1,1.608,1.573,430
Standing Broad Jump,1,1.645,1.609,440
Standing Broad Jump,1,1.681,1.646,450
Standing Broad Jump,1,1.718,1.682,460
Standing Broad Jump,1,1.755,1.719,470
Standing Broad Jump,1,1.791,1.756,480
Standing Broad Jump,1,1.828,1.792,490
Standing Broad Jump,1,1.844,1.829,500
Standing Broad Jump,1,1.861,1.845,510
Standing Broad Jump,1,1.877,1.862,520
Standing Broad Jump,1,1.894,1.878,530
Standing Broad Jump,1,1.91,1.895,540
Standing Broad Jump,1,1.927,1.911,550
Standing Broad Jump,1,1.943,1.928,560
Standing Broad Jump,1,1.96,1.944,570
Standing Broad Jump,1,1.976,1.961,580
Standing Broad Jump,1,1.993,1.977,590
Standing Broad Jump,1,2.009,1.994,600
Standing Broad Jump,1,2.026,2.01,610
Standing Broad Jump,1,2.042,2.027,620
Standing Broad Jump,1,2.059,2.043,630
Standing Broad Jump,1,2.075,2.06,640
Standing Broad Jump,1,2.092,2.076,650
Standing Broad Jump,1,2.108,2.093,660
Standing Broad Jump,1,2.125,2.109,670
Standing Broad Jump,1,2.141,2.126,680
Standing Broad Jump,1,2.158,2.142,690
Standing Broad Jump,1,2.175,2.159,700
Standing Broad Jump,1,2.191,2.176,710
Standing Broad Jump,1,2.208,2.192,720
Standing Broad Jump,1,2.224,2.209,730
Standing Broad Jump,1,2.241,2.225,740
Standing Broad Jump,1,2.257,2.242,750
Standing Broad Jump,1,2.274,2.258,760
Standing Broad Jump,1,2.29,2.275,770
Standing Broad Jump,1,2.307,2.291,780
Standing Broad Jump,1,2.323,2.308,790
Standing Broad Jump,1,2.34,2.324,800
Standing Broad Jump,1,2.356,2.341,810
Standing Broad Jump,1,2.373,2.357,820
Standing Broad Jump,1,2.389,2.374,830
Standing Broad Jump,1,2.406,2.39,840
Standing Broad Jump,1,2.422,2.407,850
Standing Broad Jump,1,2.439,2.423,860
Standing Broad Jump,1,2.455,2.44,870
Standing Broad Jump,1,2.472,2.456,880
Standing Broad Jump,1,2.488,2.473,890
Standing Broad Jump,1,2.59,2.489,900
Standing Broad Jump,1,2.691,2.591,910
Standing Broad Jump,1,2.793,2.692,920
Standing Broad Jump,1,2.895,2.794,930
Standing Broad Jump,1,2.996,2.896,940
Standing Broad Jump,1,3.098,2.997,950
Standing Broad Jump,1,3.199,3.099,960
Standing Broad Jump,1,3.301,3.2,970
Standing Broad Jump,1,3.403,3.302,980
Standing Broad Jump,1,3.504,3.404,990
Standing Broad Jump,1,3.81,3.505,1000
Shuttle Run - 60 yd,1,24.001,100,0
Shuttle Run - 60 yd,1,23.76,24,10
Shuttle Run - 60 yd,1,23.52,23.759,20
Shuttle Run - 60 yd,1,23.28,23.519,30
Shuttle Run - 60 yd,1,23.04,23.279,40
Shuttle Run - 60 yd,1,22.8,23.039,50
Shuttle Run - 60 yd,1,22.56,22.799,60
Shuttle Run - 60 yd,1,22.32,22.559,70
Shuttle Run - 60 yd,1,22.08,22.319,80
Shuttle Run - 60 yd,1,21.84,22.079,90
Shuttle Run - 60 yd,1,21.6,21.839,100
Shuttle Run - 60 yd,1,21.36,21.599,110
Shuttle Run - 60 yd,1,21.12,21.359,120
Shuttle Run - 60 yd,1,20.88,21.119,130
Shuttle Run - 60 yd,1,20.64,20.879,140
Shuttle Run - 60 yd,1,20.4,20.639,150
Shuttle Run - 60 yd,1,20.16,20.399,160
Shuttle Run - 60 yd,1,19.92,20.159,170
Shuttle Run - 60 yd,1,19.68,19.919,180
Shuttle Run - 60 yd,1,19.44,19.679,190
Shuttle Run - 60 yd,1,19.2,19.439,200
Shuttle Run - 60 yd,1,18.96,19.199,210
Shuttle Run - 60 yd,1,18.72,18.959,220
Shuttle Run - 60 yd,1,18.48,18.719,230
Shuttle Run - 60 yd,1,18.24,18.479,240
Shuttle Run - 60 yd,1,18,18.239,250
Shuttle Run - 60 yd,1,17.92,17.999,260
Shuttle Run - 60 yd,1,17.84,17.919,270
Shuttle Run - 60 yd,1,17.76,17.839,280
Shuttle Run - 60 yd,1,17.68,17.759,290
Shuttle Run - 60 yd,1,17.6,17.679,300
Shuttle Run - 60 yd,1,17.52,17.599,310
Shuttle Run - 60 yd,1,17.44,17.519,320
Shuttle Run - 60 yd,1,17.36,17.439,330
Shuttle Run - 60 yd,1,17.28,17.359,340
Shuttle Run - 60 yd,1,17.2,17.279,350
Shuttle Run - 60 yd,1,17.12,17.199,360
Shuttle Run - 60 yd,1,17.04,17.119,370
Shuttle Run - 60 yd,1,16.96,17.039,380
