Age,Distance,Season,Split,Watts
2.0,27.0,2003.0,94.41,0.0
14.0,4532.16,2008.0,105.36,44.694799999999994
15.0,4934.32,2009.0,107.3632,57.67960000000001
17.0,5159.48,2009.0,108.43960000000001,65.9444
20.0,5313.0,2009.0,109.45000000000002,72.0
23.0,5449.0,2010.0,110.28,77.67
25.0,5562.0,2010.0,110.92,82.61
27.0,5656.0,2010.0,111.54,86.87
28.0,5736.0,2011.0,111.98,90.60999999999999
29.0,5814.4400000000005,2011.0,112.39,94.37639999999999
30.0,5898.0,2011.0,113.19,98.51
30.0,5976.0,2012.0,113.77000000000001,102.47
31.0,6029.0,2012.0,114.33,105.21
32.0,6069.0,2012.0,114.78,107.33
32.0,6109.0,2012.0,115.22,109.47
33.0,6150.0,2013.0,115.7,111.68
33.0,6191.0,2013.0,116.1,113.93
34.0,6226.0,2013.0,116.48999999999998,115.86
34.0,6262.0,2013.0,116.82,117.9
34.0,6302.0,2014.0,117.25,120.17
35.0,6332.0,2014.0,117.63,121.88
35.0,6367.0,2014.0,117.94720000000001,123.93
36.0,6405.0,2014.0,118.27,126.13999999999999
36.0,6437.0,2014.0,118.62,128.04
36.0,6466.0,2015.0,118.94,129.79
37.0,6502.0,2015.0,119.22,131.97
37.0,6522.0,2015.0,119.49,133.21
37.0,6544.0,2015.0,119.73,134.55
38.0,6570.0,2015.0,119.95,136.14
38.0,6602.0,2017.0,120.51,138.16
39.0,6624.0,2017.0,120.95,139.54
39.0,6647.0,2017.0,121.33,141.0
39.0,6673.0,2017.0,121.61,142.67
40.0,6699.0,2017.0,122.04999999999998,144.33
40.0,6717.0,2017.0,122.42000000000002,145.5
40.0,6738.0,2017.0,122.73,146.87
41.0,6761.0,2017.0,123.07,148.37
41.0,6784.0,2017.0,123.42,149.88
41.0,6808.0,2018.0,123.75,151.49
41.0,6828.0,2018.0,124.05,152.84
42.0,6852.0,2018.0,124.4,154.45
42.0,6875.0,2018.0,124.67,156.01
42.0,6902.0,2018.0,124.93,157.85
43.0,6924.0,2018.0,125.31,159.38
43.0,6948.0,2018.0,125.66,161.05
43.0,6976.0,2018.0,125.94,163.0
44.0,7003.0,2018.0,126.28,164.88
44.0,7015.0,2018.0,126.55000000000001,165.73
44.0,7029.0,2018.0,126.87,166.74
45.0,7043.0,2018.0,127.21,167.72
45.0,7057.0,2019.0,127.53,168.75
45.0,7075.0,2019.0,127.79,170.02
46.0,7094.0,2019.0,128.04,171.39
46.0,7112.0,2019.0,128.3,172.7
46.0,7127.0,2019.0,128.52,173.81
46.0,7146.0,2019.0,129.01,175.22
47.0,7162.0,2019.0,129.53,176.39
47.0,7182.0,2019.0,129.98,177.87
47.0,7204.0,2019.0,130.4,179.5
48.0,7219.0,2019.0,130.91,180.63
48.0,7235.0,2019.0,131.35,181.81
48.0,7255.0,2019.0,131.81,183.34999999999997
49.0,7273.0,2019.0,132.2,184.69
49.0,7292.0,2020.0,132.67,186.16999999999996
49.0,7313.0,2020.0,133.12,187.76
50.0,7333.0,2020.0,133.57,189.33
50.0,7352.0,2020.0,133.99,190.77
50.0,7374.0,2020.0,134.35,192.51
50.0,7401.0,2020.0,134.87,194.61
51.0,7418.0,2020.0,135.4,195.96
51.0,7441.0,2020.0,135.87,197.81
51.0,7468.0,2020.0,136.32,199.99
52.0,7503.0,2020.0,136.99,202.8
52.0,7517.0,2020.0,137.53,203.91999999999996
52.0,7532.0,2020.0,137.99,205.15
53.0,7549.0,2020.0,138.42,206.55
53.0,7567.0,2020.0,139.19,208.01
54.0,7587.0,2020.0,139.82,209.7
54.0,7610.0,2020.0,140.52,211.57
54.0,7630.640000000003,2020.0,141.35,213.31040000000036
55.0,7651.0,2020.0,142.14,215.03999999999996
55.0,7676.0,2020.0,142.81,217.13
56.0,7704.0,2021.0,143.72,219.54
56.0,7726.0,2021.0,144.56,221.41
57.0,7752.0,2021.0,145.37,223.65
57.0,7779.0,2021.0,146.34,225.98
58.0,7811.0,2021.0,147.32,228.81
58.0,7841.0,2021.0,148.29,231.46
59.0,7872.0,2021.0,149.28,234.2
60.0,7911.0,2021.0,150.6,237.68
60.0,7951.0,2021.0,152.59,241.35000000000002
61.0,8008.0,2021.0,154.78679999999994,246.53999999999996
62.0,8037.0,2021.0,156.9,249.26
63.0,8069.0,2021.0,159.12,252.22
64.0,8114.0,2021.0,161.81,256.47
65.0,8161.0,2021.0,165.17,260.96
67.0,8223.0,2021.0,169.4,266.94
68.0,8299.519999999997,2021.0,174.4355999999999,274.4779999999995
71.0,8382.68,2021.0,182.3972,282.8144
74.0,8542.0,2021.0,198.58199999999982,299.25
18689362.0,9533.0,2021.0,33333.33,415.92
