Age,Season,Seconds,Split,Watts
0.0,2002.0,3.6,3.6,1.92
10.0,2004.0,79.9,79.9,53.736000000000004
11.0,2006.0,81.9,81.9,77.476
12.0,2007.0,83.4,83.4,94.05299999999998
13.0,2008.0,84.5,84.5,107.048
13.0,2009.0,85.3,85.3,117.52
14.0,2009.0,86.2,86.2,127.28
14.0,2009.0,86.9,86.9,135.26500000000004
14.0,2010.0,87.55999999999999,87.55999999999999,142.25
15.0,2010.0,88.1,88.1,149.78
15.0,2011.0,88.7,88.7,155.69
15.0,2011.0,89.1,89.1,161.91
16.0,2011.0,89.6,89.6,167.83599999999987
16.0,2012.0,90.1,90.1,173.31
17.0,2012.0,90.6,90.6,178.77
17.0,2012.0,91.1,91.1,184.46
17.0,2013.0,91.5,91.5,189.47
18.0,2013.0,92.0,92.0,194.66
19.0,2013.0,92.4,92.4,199.53999999999996
20.0,2013.0,92.9,92.9,204.07
22.0,2014.0,93.3,93.3,207.17
23.0,2014.0,93.7,93.7,210.87
24.0,2014.0,94.1,94.1,215.2
26.0,2014.0,94.5,94.5,217.97
27.0,2015.0,94.8,94.8,221.93
28.0,2015.0,95.2,95.2,225.39
29.0,2015.0,95.6,95.6,228.93
29.0,2015.0,95.9,95.9,232.0315000000009
30.0,2016.0,96.3,96.3,235.62
31.0,2016.0,96.6,96.6,239.38
31.0,2016.0,97.0,97.0,242.57
32.0,2016.0,97.3,97.3,246.46999999999997
33.0,2016.0,97.7,97.7,250.46000000000004
33.0,2016.0,98.0,98.0,253.85
34.0,2016.0,98.3,98.3,257.31
34.0,2017.0,98.7,98.7,260.82
35.0,2017.0,99.0,99.0,263.68
35.0,2017.0,99.30000000000001,99.30000000000001,266.58
36.0,2017.0,99.6,99.6,270.26
36.0,2017.0,99.9,99.9,274.02
37.0,2017.0,100.2,100.2,277.07
37.0,2017.0,100.6,100.6,280.17
37.0,2017.0,101.0,101.0,283.31
38.0,2017.0,101.5,101.5,287.31
38.0,2017.0,101.9,101.9,289.75
39.0,2018.0,102.2,102.2,293.04
39.0,2018.0,102.6,102.6,296.38
40.0,2018.0,103.0,103.0,299.77
40.0,2018.0,103.4,103.4,303.21
41.0,2018.0,103.8,103.8,306.7
41.0,2018.0,104.1,104.1,310.25
41.0,2018.0,104.5,104.5,312.95
42.0,2018.0,104.9,104.9,316.6
42.0,2018.0,105.3,105.3,320.3
43.0,2018.0,105.7,105.7,324.06
43.0,2018.0,106.1,106.1,327.88
43.0,2018.0,106.5,106.5,330.78
44.0,2018.0,106.8,106.8,334.71
44.0,2019.0,107.3,107.3,339.71
45.0,2019.0,107.7,107.7,343.77
45.0,2019.0,108.1,108.1,347.91
45.0,2019.0,108.5,108.5,351.05
46.0,2019.0,109.0,109.0,354.23
46.0,2019.0,109.5,109.5,357.45
47.0,2019.0,109.9,109.9,360.71
47.0,2019.0,110.3,110.3,364.01
47.0,2019.0,110.80000000000001,110.80000000000001,368.47
48.0,2019.0,111.29999999999998,111.29999999999998,371.87
48.0,2019.0,111.79999999999998,111.79999999999998,375.31
49.0,2019.0,112.4,112.4,379.95
49.0,2019.0,113.0,113.0,383.49
50.0,2020.0,113.5,113.5,388.27
50.0,2020.0,114.1,114.1,391.91
51.0,2020.0,114.68499999999986,114.68499999999986,396.84
51.0,2020.0,115.19999999999999,115.19999999999999,400.58
51.0,2020.0,115.8,115.8,405.66
52.0,2020.0,116.4,116.4,410.81
52.0,2020.0,117.1,117.1,414.74
53.0,2020.0,117.6,117.6,420.05
53.0,2020.0,118.4,118.4,425.45
54.0,2020.0,119.1,119.1,430.95
54.0,2020.0,119.7,119.7,436.54
55.0,2020.0,120.6,120.6,443.66
56.0,2020.0,121.6,121.6,449.47
56.0,2020.0,122.7,122.7,456.88
57.0,2020.0,123.8,123.8,462.93
58.0,2020.0,125.1,125.1,470.63
59.0,2020.0,126.4,126.4,478.51
59.0,2020.0,127.75999999999985,127.75999999999985,486.57000000000005
60.0,2021.0,129.3,129.3,494.81
61.0,2021.0,131.0,131.0,501.53
62.0,2021.0,132.7,132.7,511.85
63.0,2021.0,135.0,135.0,521.3760000000026
64.0,2021.0,137.28499999999985,137.28499999999985,533.35
65.0,2021.0,140.1,140.1,546.44
67.0,2021.0,143.875,143.875,563.92
69.0,2021.0,148.41999999999973,148.41999999999973,580.09
71.0,2021.0,154.96500000000015,154.96500000000015,603.35
74.0,2021.0,165.30999999999986,165.30999999999986,637.11
80.0,2021.0,186.75500000000028,186.75500000000028,686.16
115.0,2021.0,567.2,567.2,7501714.68
